0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
148,1,0,1,12,5,0,1,2,0,0,0,93,8,0,0,9,0,0,0,0,16,51,201,0,0,0,0,8,433,28,82,-1398,1585,-15990,-116,-179,82
145,0,1,0,11,5,0,0,0,0,0,0,88,11,0,1,10,0,0,0,0,16,46,221,0,0,0,2,13,478,30,85,-1413,1616,-16018,-98,-199,77
155,0,0,2,19,5,0,1,20,1,0,2,83,5,0,0,8,0,0,0,0,15,35,234,0,0,0,9,6,488,26,98,-1418,1616,-16041,-94,-178,78
154,0,0,0,11,5,0,0,14,1,0,0,84,6,0,0,9,0,0,0,0,15,50,230,0,0,0,1,11,510,35,97,-1380,1602,-15962,-90,-200,65
163,0,0,4,13,8,0,1,20,0,0,0,87,14,0,0,8,0,0,0,0,22,51,251,0,0,0,1,6,472,30,98,-1418,1593,-15965,-115,-182,80
154,1,0,4,20,5,0,0,20,0,0,9,80,5,0,0,17,0,0,0,0,20,49,242,0,0,0,16,6,509,36,100,-1425,1578,-15965,-126,-163,80
169,0,0,3,11,6,0,1,20,1,0,5,84,5,1,0,9,0,0,0,0,9,27,235,0,0,0,11,6,555,268,167,-1460,1571,-16000,-126,-163,80
169,0,0,0,11,5,0,1,22,1,0,0,79,6,0,1,10,0,0,0,0,8,29,232,2,0,0,1,7,562,345,175,-1413,1628,-16048,-132,-138,90
158,0,0,0,11,8,0,0,22,1,0,0,77,8,0,0,10,0,0,0,0,17,40,227,4,0,0,0,7,563,366,181,-1383,1618,-15978,-152,-105,90
173,0,0,0,11,5,0,0,21,0,0,0,89,6,0,0,11,0,0,0,1,8,34,229,0,0,0,0,7,582,385,180,-1429,1618,-16010,-169,-61,110
153,1,0,0,11,5,0,0,14,0,0,0,82,15,0,0,8,0,0,0,0,12,33,235,0,0,0,0,7,583,381,174,-1433,1568,-16040,-210,-21,114
131,0,0,0,14,6,0,0,57,0,0,0,75,8,0,0,7,0,0,0,0,10,34,255,0,0,0,0,10,578,341,178,-1428,1600,-16032,-236,19,141
85,0,0,0,11,14,0,0,54,0,0,0,76,20,0,0,10,0,0,0,1,23,38,267,0,0,0,0,7,555,248,155,-1421,1623,-16017,-247,-53,104
82,1,0,0,9,4,0,0,56,0,0,0,75,7,0,0,10,0,0,0,0,16,53,266,0,0,0,0,5,489,35,99,-1431,1624,-16027,-245,1,118
110,2,0,0,10,5,0,0,59,0,0,0,73,8,0,1,11,0,0,0,0,16,48,260,0,0,0,0,6,466,31,80,-1397,1602,-15991,-229,16,109
105,0,0,0,14,4,0,0,58,0,0,0,70,6,1,0,20,0,0,0,0,14,51,208,0,0,0,1,5,420,40,69,-1429,1628,-16045,-217,50,97
97,1,0,2,12,8,4,0,54,0,0,11,66,9,0,0,9,0,0,0,0,20,58,230,0,0,0,11,2,246,21,18,-1425,1601,-16078,-227,95,80
112,0,1,1,9,6,1,0,50,0,0,4,68,8,1,0,12,0,0,0,0,20,70,223,0,0,0,9,3,196,23,16,-1445,1623,-16049,-261,97,74
80,2,0,2,11,4,1,0,50,0,0,4,68,5,6,0,11,0,0,0,1,20,84,171,0,1,0,13,7,29,43,12,-1408,1619,-16068,-322,130,58
88,0,14,1,12,0,0,0,47,0,13,2,70,0,0,0,10,0,9,1,1,0,57,170,0,0,19,6,9,0,32,23,-1411,1615,-16052,-468,136,70
96,0,18,2,14,1,0,0,43,0,16,0,77,1,0,0,76,0,4,0,0,5,21,147,35,0,31,10,2,48,95,111,-1162,1228,-15881,-618,127,108
117,10,37,1,24,5,2,0,2,0,14,1,76,4,0,0,78,0,7,1,0,10,14,88,23,0,12,0,1,44,71,40,-1761,1429,-18030,-1117,45,168
132,0,23,1,18,3,0,1,0,0,0,0,2,0,0,0,74,0,10,0,2,5,34,85,24,0,18,14,3,35,92,26,-1569,1134,-17142,-2469,-92,270
175,1,42,12,25,5,5,2,4,0,0,0,1,0,0,0,77,1,8,8,1,8,53,175,0,0,5,6,0,9,47,12,-1670,1144,-20092,-5441,427,613
162,3,70,42,24,7,87,2,3,0,0,0,1,0,0,0,63,0,5,4,0,10,34,130,0,0,38,84,3,10,55,17,-1200,1020,-20767,-9575,179,1098
177,0,67,54,28,6,4,2,5,0,0,0,7,0,0,0,62,0,16,6,1,2,44,200,0,0,16,33,0,3,44,14,-1506,1830,-21397,-12879,847,1538
123,0,43,29,36,55,0,1,3,0,0,0,11,0,0,0,32,1,14,11,7,1,0,173,6,0,18,26,3,2,0,28,-1422,2900,-20720,-15082,739,1547
115,0,46,33,41,10,0,7,4,0,0,0,6,0,0,0,26,0,25,10,3,0,0,221,0,0,24,34,3,1,0,32,-3604,2098,-19279,-16259,582,1747
120,0,56,34,37,62,1,3,3,0,0,0,2,0,0,0,2,0,10,15,2,0,0,132,0,0,15,34,0,0,0,32,-2446,3911,-19695,-16008,-261,3270
108,0,31,23,17,1,0,1,22,0,10,11,77,0,0,0,4,0,11,10,0,14,0,219,0,0,9,8,0,7,0,19,-5048,-4400,-16673,-14737,-2089,4501
104,0,32,34,27,38,0,7,10,0,6,6,83,17,0,0,18,1,16,15,1,14,0,203,0,0,2,11,1,2,0,10,-3192,-9720,-22421,-9242,581,2922
112,0,31,23,17,1,0,0,1,0,18,25,71,0,0,0,21,0,13,12,1,12,0,209,0,0,8,13,0,6,0,18,-6643,-11784,-13018,-2517,1882,985
123,0,30,22,18,1,0,0,7,0,15,12,74,1,0,0,20,0,13,20,0,10,3,158,0,0,14,26,1,5,8,14,-5973,-11655,-12754,889,884,1318
124,1,26,19,16,2,0,0,16,0,8,12,76,0,0,0,19,0,9,13,0,9,30,167,2,0,35,64,3,12,17,18,-6531,-11850,-13603,4262,229,1516
115,0,27,21,16,3,1,0,7,0,9,16,66,1,0,0,10,0,9,9,0,8,33,157,0,0,16,51,2,10,16,12,-6358,-9972,-13570,7678,-883,966
120,0,29,23,17,1,0,0,16,0,8,12,64,1,0,0,23,0,11,10,2,10,0,169,1,0,18,103,5,11,0,14,-5731,-8047,-14780,10482,-1968,-43
126,0,28,30,19,1,0,0,16,0,8,13,70,0,0,0,45,0,17,12,0,7,0,166,5,0,14,30,1,13,0,27,-5031,-6116,-16152,12875,-3249,-1339
135,0,28,43,18,0,0,2,15,1,8,13,64,1,0,0,63,0,8,9,0,0,0,110,26,0,36,73,3,4,0,29,-4085,-3709,-17359,14733,-4088,-2949
133,0,25,19,14,2,0,0,17,0,9,11,66,0,0,0,70,0,7,6,0,7,0,103,29,0,27,74,8,10,0,28,-3009,-824,-18033,15761,-4166,-4423
116,0,23,17,15,0,0,1,17,0,7,10,65,1,0,0,62,0,21,9,2,0,0,203,0,0,31,108,4,0,0,31,-2564,1417,-18652,15839,-3737,-5121
121,0,28,22,17,0,0,2,14,0,7,9,80,0,0,0,83,0,55,8,0,8,0,191,4,0,28,119,4,10,0,27,-1779,2382,-21212,16206,-4287,-5146
111,0,30,37,17,0,0,2,15,0,13,10,56,0,0,0,71,0,94,9,0,3,0,182,6,0,26,123,4,5,1,26,481,5777,-20832,16890,-3681,-4941
116,0,28,28,18,0,0,2,16,0,8,11,58,0,0,0,87,0,133,9,1,0,0,183,3,1,26,85,2,0,0,31,592,9773,-19821,16138,-2358,-4357
119,0,33,33,18,0,0,2,19,0,7,9,60,0,0,0,75,0,142,8,1,0,0,180,4,1,30,108,3,0,0,28,949,14104,-18723,14304,-1243,-3526
121,0,31,27,18,0,0,2,18,0,6,10,57,0,0,0,66,0,156,13,0,0,0,174,0,0,33,123,4,0,0,23,851,18459,-17112,11907,-910,-2767
117,0,29,28,17,1,0,1,10,0,7,12,61,0,0,0,41,0,163,16,1,0,0,168,0,0,29,143,3,0,0,27,1893,22732,-13810,7881,-374,-1859
114,0,39,20,14,0,0,2,1,0,7,11,56,0,0,0,42,0,190,9,0,0,1,178,0,0,28,130,5,0,0,29,2183,24681,-12916,2878,-276,-797
97,0,25,21,25,1,0,0,44,0,8,15,52,1,0,0,39,0,194,8,1,8,0,133,0,0,26,104,2,17,0,30,3087,24334,-12902,-981,-26,477
114,0,28,24,15,0,0,2,2,0,9,19,39,0,0,0,58,0,226,18,0,4,0,170,0,1,27,134,2,3,0,28,12517,26195,-4150,-7055,6803,1315
119,0,29,42,18,2,0,1,4,0,15,11,48,0,0,0,32,0,188,10,2,14,0,158,0,0,42,165,3,30,1,23,-4517,-7308,-25367,-7751,7915,2139
124,0,29,39,14,4,3,1,18,0,8,13,49,2,0,0,5,72,4,4,0,14,40,255,0,1,13,20,0,28,42,18,-5517,-4636,-2904,-12496,913,-109
123,0,40,41,17,9,2,1,18,0,8,21,46,1,0,0,3,35,103,2,1,5,56,81,0,0,19,18,0,42,96,41,-3544,3470,-28744,-13235,249,2038
74,0,41,60,21,3,3,1,2,0,8,10,45,0,0,0,66,0,84,5,0,4,493,291,1,0,16,33,0,18,57,23,-1666,2663,-19692,-7940,2918,630
79,0,48,58,18,6,4,4,18,0,7,6,47,0,0,0,114,0,82,5,1,5,717,346,9,0,13,15,0,13,54,30,-715,1400,-17318,-6060,2810,-59
