0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,990,1391,840,812,1317,1511,494,238,565,440,49,116,104,23,40,722,1416,1647,2164,1332,1902,1519,2768,706,665,180,340,537,81,313,27,-750,1404,-8245,67,-205,-16
1946,1157,1492,919,542,1485,1788,375,154,454,245,22,149,26,24,30,519,1621,1787,2119,1030,1673,1314,2798,426,217,49,150,165,39,40,22,-759,1425,-8256,34,-292,-73
2048,1230,1507,866,77,1587,1966,214,48,276,42,23,153,23,25,32,374,1664,1889,1988,509,1399,925,2785,238,95,24,99,37,22,22,22,-721,1363,-8803,16,-184,-134
1585,1162,1398,517,39,1252,1992,133,42,91,22,25,139,26,25,30,209,1549,1880,1612,34,1100,387,2592,146,48,20,26,42,25,25,23,641,-1028,-11004,-1677,1064,-591
916,799,1123,169,37,1216,1825,93,44,71,21,29,125,29,26,28,44,1142,1864,763,32,331,69,2309,156,65,21,30,43,29,27,24,1164,-5578,-9863,-1979,1658,-7113
64,756,829,32,33,1061,1671,82,53,75,22,32,160,30,28,29,37,604,1911,31,32,138,28,2070,197,98,22,31,42,31,29,25,860,-3598,-10125,-2497,2208,-11290
42,64,306,32,33,853,1425,79,54,93,24,32,140,32,28,35,32,35,1769,32,32,29,30,1065,188,164,24,32,40,32,30,30,957,-3135,-9545,883,2999,-12040
39,62,220,32,32,763,1299,77,52,89,24,31,127,32,28,34,32,35,1839,31,32,29,30,1041,177,195,24,31,41,32,31,30,1849,1070,-8730,2462,1198,-9536
