119,557,112,319,722,731,972,527,1685,1087,1184,1254,1138,1205,1525,1442,853,317,109,68,455,601,744,419,377,1331,1655,1790,1236,1096,40,1011,738,1500,-8098,77,-146,2
122,568,117,321,732,737,971,535,1699,1109,1194,1267,1137,1201,1525,1454,865,324,111,69,457,609,751,425,351,1301,1644,1784,1228,1093,40,989,780,1498,-8088,77,-123,7
121,568,116,322,730,738,968,537,1697,1109,1201,1263,1136,1197,1529,1449,863,324,111,69,457,608,751,426,353,1301,1648,1785,1226,1093,40,990,755,1500,-8090,79,-133,2
120,572,116,324,731,738,967,536,1694,1104,1199,1266,1135,1200,1528,1452,867,324,113,69,459,607,753,427,350,1302,1639,1783,1225,1094,40,990,735,1505,-8081,85,-117,8
120,574,118,323,733,738,970,539,1702,1104,1201,1266,1135,1201,1524,1453,867,325,113,69,458,611,755,428,341,1297,1640,1779,1225,1094,40,983,746,1486,-8084,78,-120,8
122,579,119,325,735,738,971,544,1704,1112,1204,1272,1136,1196,1525,1450,869,323,112,69,456,612,754,428,334,1289,1641,1782,1229,1091,40,983,751,1533,-8075,64,-143,5
121,587,130,324,743,736,976,547,1699,1113,1206,1274,1137,1200,1524,1450,875,326,112,68,454,608,757,429,325,1281,1629,1779,1223,1093,40,982,743,1540,-8068,60,-125,8
123,593,132,327,745,738,974,548,1714,1118,1211,1276,1136,1199,1527,1464,876,326,110,65,457,611,755,432,308,1263,1627,1773,1219,1094,40,964,744,1525,-8099,71,-130,3
138,604,140,326,758,746,977,552,1719,1128,1217,1286,1135,1199,1524,1473,877,331,113,64,456,608,755,440,293,1240,1613,1758,1212,1085,40,945,743,1538,-8066,45,-90,14
145,632,154,335,782,757,989,563,1733,1148,1221,1294,1128,1192,1526,1483,891,330,113,65,455,612,763,455,261,1199,1594,1744,1205,1078,39,912,726,1517,-8107,51,-134,6
137,641,155,337,791,766,990,566,1745,1171,1239,1309,1127,1189,1522,1490,902,328,112,66,457,614,772,458,247,1175,1594,1737,1199,1076,39,904,747,1532,-8107,44,-141,13
150,667,164,353,812,782,997,580,1795,1195,1266,1321,1128,1181,1525,1496,886,326,116,65,450,612,781,465,208,1147,1565,1711,1185,1069,38,884,775,1511,-8102,54,-138,13
151,701,173,362,838,796,1002,591,1833,1237,1289,1342,1121,1181,1536,1516,900,313,121,65,454,615,779,481,158,1078,1540,1681,1169,1057,38,833,744,1543,-8093,50,-140,10
162,728,175,380,859,813,1015,609,1866,1279,1315,1369,1117,1169,1543,1546,879,315,123,68,453,624,776,500,135,1001,1503,1639,1160,1043,37,753,761,1532,-8096,61,-111,18
162,736,184,392,872,832,1014,633,1874,1322,1342,1391,1111,1155,1540,1580,892,323,127,72,462,631,784,521,112,929,1453,1596,1144,1028,36,656,739,1533,-8043,89,-91,15
166,747,194,403,886,846,1018,659,1883,1349,1362,1416,1106,1131,1533,1602,902,335,143,74,473,653,787,543,94,876,1407,1550,1129,1004,36,577,748,1541,-8108,105,-88,13
173,749,197,408,894,861,1019,677,1881,1375,1380,1431,1088,1114,1527,1612,913,341,150,76,484,666,790,562,72,831,1357,1518,1112,986,36,513,733,1504,-8087,113,-88,7
179,745,199,404,905,868,1026,686,1873,1389,1416,1452,1073,1093,1510,1626,923,358,153,76,495,687,791,582,51,781,1284,1478,1096,975,35,426,780,1513,-8126,127,-86,0
173,751,200,404,909,884,1025,707,1856,1426,1436,1471,1051,1054,1484,1633,937,381,159,77,507,701,789,606,29,649,1205,1430,1086,958,36,334,776,1530,-8096,129,-63,-1
142,723,196,387,907,889,1022,699,1839,1451,1428,1486,1007,998,1468,1612,914,404,155,72,520,715,764,600,28,563,1123,1395,1076,970,36,275,781,1518,-8072,143,0,6
116,619,156,335,861,858,998,685,1766,1433,1412,1457,976,960,1458,1603,853,421,123,71,494,688,725,549,30,550,1076,1433,1117,1003,37,240,765,1520,-8088,147,-32,-12
41,506,100,179,746,769,942,610,1732,1269,1265,1431,919,927,1403,1596,687,410,82,72,459,638,671,417,31,477,990,1458,1187,1072,39,180,759,1461,-8068,95,57,-7
35,444,99,159,704,776,927,593,1727,1284,1278,1475,872,860,1365,1572,572,368,68,72,441,624,655,357,31,328,746,1370,1197,1063,38,100,769,1463,-8113,47,119,-10
30,411,110,89,626,821,930,571,1697,1109,1281,1532,757,678,1241,1398,412,335,59,64,450,608,646,293,29,65,312,1199,1126,1017,37,38,827,1474,-8077,10,159,-27
33,341,100,43,626,876,950,578,1683,820,1177,1560,503,474,942,896,251,290,49,46,528,585,661,256,28,37,38,991,876,971,37,42,1713,-465,-8199,175,515,-1453
31,217,93,36,682,818,963,538,1481,587,947,1553,240,290,667,321,143,224,48,44,610,597,654,228,28,37,36,738,397,920,36,38,2149,-1058,-8763,717,1796,-6480
32,109,74,36,636,658,934,391,1275,414,473,1317,171,272,522,282,113,179,40,44,560,580,437,219,29,39,34,767,275,930,39,39,1364,-622,-8540,1269,2501,-8933
35,71,73,36,548,573,896,328,1147,386,305,1281,167,254,413,250,92,112,40,39,530,549,320,196,30,38,36,764,234,938,42,39,308,26,-8712,1849,3261,-12346
34,76,72,35,537,567,771,334,1129,358,249,1346,163,263,512,319,100,109,40,39,527,514,273,173,30,38,35,687,266,925,41,38,72,479,-8336,1924,3257,-13691
34,72,74,34,606,643,724,342,1236,473,274,1555,157,239,617,354,112,125,44,40,553,546,276,181,29,36,35,509,273,796,38,38,-556,1169,-7684,1818,2969,-13500
32,86,92,36,689,808,782,365,1419,692,365,1761,206,227,763,475,143,140,58,43,633,598,310,187,27,33,35,317,265,688,35,38,-645,2733,-7540,1346,1847,-11339
31,169,101,37,828,994,859,462,1674,930,754,1896,266,205,1005,632,153,152,52,44,667,691,371,211,26,31,33,282,343,638,32,38,-441,3215,-7575,932,1111,-9617
30,266,117,40,909,1128,1040,577,1771,1245,1282,1973,326,227,1088,882,218,143,55,52,666,729,422,243,26,29,32,354,451,664,30,34,-433,4650,-7547,350,-794,-5226
31,408,129,85,756,1014,961,549,1969,1494,1530,1701,766,567,1461,1797,336,190,75,57,485,675,568,247,29,261,426,1195,1087,944,36,34,775,1488,-8284,667,-1518,-324
53,423,118,120,726,924,965,600,1980,1465,1423,1545,928,819,1535,1871,515,215,91,56,482,630,575,289,31,670,899,1454,1137,1007,38,90,800,1209,-7799,491,-1045,22
90,458,110,172,771,851,945,564,1925,1354,1293,1462,1075,1053,1620,1860,645,254,94,54,468,573,628,365,198,1112,1403,1653,1146,1060,40,383,822,1561,-8082,116,-634,-30
123,451,117,244,727,782,872,500,1734,1205,1205,1373,1202,1186,1719,1748,683,260,85,56,395,519,684,317,548,1435,1675,1766,1238,1138,41,841,775,1552,-8136,-32,-547,-56
131,475,114,235,690,747,802,437,1653,1097,1164,1346,1292,1279,1781,1667,637,253,75,55,357,471,700,276,790,1619,1845,1856,1271,1177,86,1124,709,1527,-8155,-41,-487,-29
128,491,120,240,697,739,790,433,1649,1075,1176,1350,1335,1310,1791,1625,638,237,74,55,348,447,677,254,868,1670,1894,1868,1266,1187,137,1238,734,1563,-8183,-63,-359,-12
130,525,131,250,705,747,802,443,1659,1090,1192,1367,1343,1325,1766,1617,636,233,85,54,348,446,689,258,870,1645,1884,1853,1257,1178,162,1259,739,1570,-8103,48,-194,-3
128,543,133,256,713,750,809,451,1674,1095,1212,1370,1343,1326,1749,1616,653,236,91,54,355,455,713,268,857,1626,1861,1847,1243,1162,159,1251,739,1559,-8091,109,-148,0
132,559,138,263,717,752,823,468,1688,1104,1221,1372,1334,1318,1736,1599,672,249,101,55,368,469,744,300,805,1579,1842,1831,1234,1156,126,1209,735,1552,-8142,161,-72,9
136,579,148,280,754,763,851,488,1700,1130,1240,1382,1311,1295,1714,1598,686,267,112,60,389,500,797,340,742,1512,1782,1783,1212,1131,89,1134,718,1536,-8126,165,-39,10
141,604,164,291,775,782,866,523,1724,1145,1269,1403,1285,1276,1684,1602,744,294,129,63,421,536,844,385,647,1413,1729,1753,1178,1101,68,1042,734,1542,-8101,150,-37,5
166,638,195,308,815,805,884,556,1802,1180,1280,1424,1262,1254,1644,1608,789,334,170,71,442,560,886,440,505,1323,1646,1690,1149,1071,54,954,766,1558,-8119,127,-19,9
179,678,242,354,869,831,921,612,1825,1218,1313,1422,1211,1209,1588,1596,864,373,216,81,484,624,955,513,367,1219,1549,1646,1107,1034,41,847,766,1545,-8125,132,-66,4
197,682,266,371,888,841,932,626,1844,1222,1326,1434,1203,1191,1566,1588,889,397,237,85,498,644,980,538,326,1182,1520,1617,1092,1023,33,821,779,1521,-8133,139,-75,1
206,691,313,393,917,854,960,662,1831,1245,1336,1442,1176,1171,1527,1571,935,435,260,86,527,679,1007,587,277,1129,1453,1588,1076,1000,33,749,762,1507,-8147,140,-52,-2
200,706,376,417,941,881,977,706,1865,1273,1335,1452,1142,1124,1487,1565,1016,494,299,93,562,725,1032,649,166,1029,1368,1544,1051,968,32,654,762,1550,-8152,152,-46,0
213,735,465,439,986,916,1016,749,1868,1305,1347,1485,1104,1074,1444,1527,1077,570,325,100,599,782,1058,730,92,878,1260,1471,1007,924,31,548,795,1498,-8123,175,-45,0
222,738,535,458,1024,933,1040,798,1852,1326,1347,1492,1054,1013,1382,1464,1136,682,370,96,641,848,1094,830,47,762,1166,1446,969,893,30,451,760,1497,-8153,175,-29,-12
227,729,568,481,1060,945,1059,837,1809,1321,1317,1473,1018,978,1312,1401,1185,761,405,94,671,890,1143,890,40,696,1136,1432,929,881,30,410,816,1486,-8174,164,-76,-22
226,726,569,477,1071,928,1069,857,1770,1297,1270,1456,979,961,1267,1339,1216,793,431,95,692,922,1166,928,30,683,1142,1450,932,877,31,403,805,1524,-8189,175,-122,-24
240,706,572,477,1092,908,1079,864,1708,1265,1215,1424,909,924,1194,1300,1254,845,455,98,713,957,1207,970,27,663,1138,1453,929,875,31,375,820,1486,-8165,179,-113,-21
242,702,517,476,1133,892,1087,871,1625,1256,1195,1400,853,894,1118,1268,1287,873,470,96,731,1013,1235,1010,27,612,1143,1430,894,857,31,317,815,1474,-8146,180,-95,-22
233,689,463,469,1152,878,1081,879,1528,1269,1193,1417,781,831,1072,1235,1317,925,490,97,750,1074,1234,1065,27,483,1055,1354,875,809,31,195,773,1433,-8132,175,17,15
214,636,463,481,1216,942,1095,941,1510,1399,1234,1518,671,691,1046,1149,1307,971,473,98,761,1155,1194,1137,26,218,791,1085,832,736,31,40,747,1404,-8205,147,85,38
146,392,415,452,1481,1104,1142,1045,1467,1628,1377,1729,289,277,881,493,1204,920,357,76,841,1278,1031,1292,24,23,123,573,604,586,30,29,596,1733,-7165,-900,2062,713
76,203,307,201,1444,1117,1139,853,1445,1560,1181,1776,171,184,614,337,880,804,253,67,823,1162,808,1165,26,25,44,404,486,560,32,32,1173,2280,-8874,-115,2989,1140
35,59,76,37,1033,648,757,307,844,561,255,1444,85,135,413,59,417,609,90,44,544,732,477,658,29,32,34,312,104,652,37,36,1645,2429,-9465,762,3312,1422
42,76,33,35,330,121,306,144,544,54,32,1156,38,75,193,31,183,277,39,39,184,240,216,216,31,33,32,415,36,886,44,34,2796,972,-9051,3235,2905,3866
39,82,31,36,103,61,120,114,488,37,31,1093,35,95,114,33,34,69,31,45,64,94,63,49,31,35,31,558,37,1064,43,35,6363,8620,-6237,10567,1398,-2365
